City,PercBlack,PercHisp,PercAsian,MedianAge,Unemployment
Albuquerque,3,35,2,32,5
Atlanta,67,2,1,31,5
Austin,12,23,3,29,3
Baltimore,59,1,1,33,11
Boston,26,11,5,30,5
Charlotte,32,1,2,32,3
Chicago,39,20,4,31,9
Cincinnati,38,1,1,31,8
Cleveland,47,5,1,32,13
Columbus,23,1,2,29,3
Dallas,30,21,2,30,9
Denver,13,23,2,34,7
Detroit,76,3,1,31,9
El Paso,3,69,1,29,11
Fort Worth,22,20,2,30,9
Fresno,9,30,13,28,13
Honolulu,1,5,71,37,5
Houston,28,28,4,30,7
Indianapolis,22,1,1,32,5
Jacksonville,25,3,2,32,7
Kansas City,30,4,1,33,6
Las Vegas,11,13,4,33,5
Long Beach,14,24,14,30,8
Los Angeles,14,40,10,31,11
Memphis,55,1,1,32,9
Miami,27,63,1,36,12
Milwaukee,31,6,2,30,5
Minneapolis,13,2,4,32,5
Nashville,23,1,1,33,3
New Orleans,62,4,2,32,7
NY,29,24,7,34,11
Oakland,44,14,15,33,10
Oklahoma City,16,5,2,32,6
Omaha,13,3,1,32,5
Philadelphia,40,6,3,33,9
Phoenix,5,20,2,31,4
Pittsburgh,26,1,2,35,7
Portland,8,3,5,35,7
Sacramento,15,16,15,32,8
St. Louis,48,1,1,33,8
San Antonio,7,56,1,30,5
San Diego,9,21,12,31,8
San Francisco,11,14,29,36,6
San Jose,5,27,20,30,8
Seattle,10,4,12,35,5
Toledo,20,4,1,32,6
Tucson,4,29,2,31,3
Tulsa,14,3,1,33,4
Virginia Beach,14,3,4,29,6
