X1,X2,X3,X4,X5,X6,X7,ID
low,med,NA,2,med,med,unacc,1598
high,low,4,NA,small,high,acc,831
low,low,3,2,big,high,unacc,1656
low,high,NA,NA,big,low,unacc,1510
high,med,4,2,med,high,unacc,708
vhigh,high,2,NA,med,med,unacc,131
high,low,NA,4,med,low,unacc,850
low,high,NA,4,small,med,acc,1496
high,med,2,NA,small,low,unacc,667
high,high,NA,NA,med,med,acc,644
med,med,4,NA,big,high,vgood,1161
high,low,NA,NA,small,low,unacc,856
high,high,4,2,med,low,unacc,598
high,high,4,NA,big,low,unacc,619
vhigh,med,NA,2,small,low,unacc,298
med,vhigh,NA,NA,med,med,acc,968
high,low,2,NA,small,low,unacc,775
vhigh,vhigh,2,2,big,med,unacc,8
med,high,4,2,med,low,unacc,1030
low,vhigh,4,4,big,low,unacc,1366
high,med,NA,2,big,low,unacc,736
low,high,NA,4,small,high,acc,1497
med,vhigh,2,2,big,med,unacc,872
med,med,2,NA,med,med,acc,1103
vhigh,low,3,4,big,low,unacc,367
low,med,4,2,small,med,unacc,1568
high,vhigh,3,2,big,low,unacc,466
vhigh,low,3,NA,small,low,unacc,370
low,med,2,NA,med,high,good,1536
high,low,3,2,big,med,unacc,791
high,med,4,4,med,high,acc,717
med,high,4,NA,small,low,unacc,1045
med,med,NA,2,med,med,unacc,1166
low,high,4,NA,small,med,acc,1478
high,low,4,NA,small,med,unacc,830
vhigh,med,2,NA,med,high,acc,240
med,high,NA,4,big,low,unacc,1069
low,high,2,NA,med,high,acc,1428
vhigh,vhigh,NA,2,small,med,unacc,83
med,high,NA,NA,small,high,acc,1074
low,high,3,2,big,med,unacc,1439
high,high,4,NA,big,high,acc,621
med,high,NA,NA,big,low,unacc,1078
vhigh,vhigh,4,2,small,med,unacc,56
vhigh,high,4,2,big,high,unacc,171
vhigh,vhigh,NA,4,small,med,unacc,92
low,high,NA,NA,med,high,vgood,1509
low,low,NA,NA,med,high,vgood,1725
high,vhigh,NA,2,small,low,unacc,514
high,high,3,2,med,low,unacc,571
vhigh,high,2,NA,big,high,unacc,135
vhigh,med,NA,2,med,high,unacc,303
high,vhigh,NA,NA,big,low,unacc,538
low,vhigh,2,2,big,high,unacc,1305
med,low,3,NA,med,med,good,1238
vhigh,low,2,4,small,high,acc,336
low,low,NA,NA,small,med,acc,1721
low,vhigh,2,4,small,med,unacc,1307
low,high,2,2,small,low,unacc,1405
vhigh,low,4,NA,big,med,acc,404
high,low,3,2,big,low,unacc,790
med,vhigh,4,4,med,high,acc,933
med,med,2,4,big,med,acc,1097
high,high,NA,4,big,med,acc,638
vhigh,high,4,NA,med,high,unacc,186
med,med,3,NA,big,high,vgood,1134
vhigh,med,4,4,big,med,acc,287
low,low,2,NA,big,med,good,1646
low,med,2,2,big,high,unacc,1521
vhigh,vhigh,2,4,med,low,unacc,13
high,med,3,4,small,high,acc,687
vhigh,vhigh,4,2,big,med,unacc,62
high,high,3,NA,small,high,acc,588
vhigh,med,2,NA,med,low,unacc,238
med,low,2,NA,med,high,good,1212
vhigh,high,3,NA,small,med,unacc,155
low,med,NA,4,small,med,acc,1604
vhigh,high,3,NA,small,high,unacc,156
med,high,4,4,small,low,unacc,1036
low,vhigh,NA,NA,med,med,acc,1400
high,high,2,2,small,low,unacc,541
low,med,4,NA,med,high,vgood,1590
med,low,3,4,big,med,good,1232
med,vhigh,3,NA,small,med,unacc,911
vhigh,high,4,NA,small,low,unacc,181
vhigh,high,4,4,small,low,unacc,172
vhigh,high,2,4,big,med,unacc,125
vhigh,high,3,NA,big,med,unacc,161
low,high,2,NA,small,low,unacc,1423
low,high,4,NA,small,low,unacc,1477
high,med,3,2,med,med,unacc,680
low,vhigh,NA,2,big,low,unacc,1384
vhigh,low,NA,2,med,high,unacc,411
vhigh,med,NA,NA,small,high,acc,318
low,low,2,NA,big,high,vgood,1647
low,high,3,4,big,high,vgood,1449
low,vhigh,3,4,small,med,unacc,1334
low,vhigh,4,NA,big,low,unacc,1375
high,high,4,NA,small,low,unacc,613
vhigh,med,NA,NA,big,low,unacc,322
low,vhigh,NA,4,med,med,acc,1391
med,high,4,2,big,high,unacc,1035
vhigh,low,NA,4,small,low,unacc,415
low,med,NA,NA,small,high,good,1614
med,low,NA,2,big,high,unacc,1278
med,high,4,NA,med,med,acc,1049
med,med,4,2,big,low,unacc,1141
med,med,2,NA,med,low,unacc,1102
high,med,2,NA,big,low,unacc,673
low,med,NA,4,big,med,good,1610
high,high,2,4,big,med,acc,557
low,vhigh,4,2,big,med,unacc,1358
low,med,4,2,med,med,unacc,1571
vhigh,vhigh,2,4,big,med,unacc,17
med,med,4,2,small,high,unacc,1137
high,med,2,2,med,med,unacc,653
vhigh,vhigh,NA,NA,small,low,unacc,100
low,low,NA,4,small,low,unacc,1711
high,low,3,4,small,high,acc,795
low,high,2,2,big,high,unacc,1413
low,vhigh,4,2,med,low,unacc,1354
high,high,NA,2,med,high,unacc,627
low,high,4,2,small,low,unacc,1459
low,high,NA,4,big,high,vgood,1503
high,low,4,NA,small,low,unacc,829
med,low,3,2,big,low,unacc,1222
vhigh,low,2,4,big,high,acc,342
vhigh,med,4,NA,small,low,unacc,289
low,med,NA,2,big,low,unacc,1600
vhigh,med,3,2,small,med,unacc,245
low,high,2,4,big,high,vgood,1422
med,high,2,4,med,med,unacc,986
med,low,3,NA,small,med,acc,1235
vhigh,low,NA,2,big,high,unacc,414
high,med,2,NA,small,med,unacc,668
med,vhigh,NA,4,small,high,acc,957
med,vhigh,2,NA,small,high,unacc,885
high,vhigh,2,NA,med,high,unacc,456
med,low,2,NA,med,med,acc,1211
vhigh,vhigh,2,2,big,high,unacc,9
high,high,2,NA,big,high,acc,567
high,high,2,2,med,low,unacc,544
high,vhigh,3,4,med,low,unacc,472
high,high,NA,4,small,low,unacc,631
low,low,2,4,big,high,vgood,1638
high,med,2,2,med,low,unacc,652
vhigh,low,NA,NA,big,low,unacc,430
vhigh,low,2,4,small,low,unacc,334
high,med,4,2,big,low,unacc,709
high,vhigh,4,NA,big,med,unacc,512
med,low,NA,NA,big,high,vgood,1296
low,med,4,4,small,low,unacc,1576
high,med,NA,4,small,med,unacc,740
med,high,3,NA,med,med,acc,1022
high,med,4,NA,big,low,unacc,727
med,vhigh,3,4,big,med,acc,908
